0,social,49
0,music,33
0,messaging,30
0,travel,25
0,photo_video,23
0,sports,13
0,fashion,10
1,web,3787
1,software,2736
1,games_video,1083
1,network_hosting,626
1,search,394
1,hardware,368
1,analytics,66
2,mobile,1018
2,enterprise,742
2,ecommerce,688
2,finance,49
2,manufacturing,19
2,real_estate,10
2,automotive,9
3,advertising,928
3,public_relations,533
3,news,48
3,design,4
4,other,986
4,consulting,637
4,biotech,373
4,cleantech,305
4,semiconductor,167
4,security,156
4,education,36
4,legal,25
4,medical,25
4,health,23
4,hospitality,8
4,transportation,7
4,nanotech,5
4,nonprofit,4
4,government,1
